,gene_name,AUROC,avg_diff,cluster_revised
0,Nts,0.9592005300197871,2.1802678,1
1,Ctxn3,0.926402338962366,1.612167,1
2,Rprm,0.9242527751568519,1.4248949,1
3,Alcam,0.9222691459997914,1.2087055,1
4,Pcp4,0.9202327139370416,1.1014631,1
5,Plcb4,0.8425174580365598,0.7954289,1
6,Col25a1,0.8329712996178888,0.87227213,1
7,Dgkb,0.8306460902847145,0.7998171,1
8,Vsnl1,0.8222595322293764,0.73508906,1
9,Bdnf,0.8198111768092552,0.8074169,1
10,Nrn1,0.8178311892318975,0.71450377,1
11,Cnih3,0.8028420223245829,0.7098026,1
12,Cox6a2,0.7484666825196771,0.7145242,1
13,Npy,0.6492471094657645,0.8136784,1
14,Tac1,0.4717834017525466,1.0230215,1
15,Tac2,0.46526005795209935,1.1308585,1
16,Sst,0.4533647164672113,1.4815885,1
17,Gad1,0.3661893648150327,0.88577145,1
18,Synpr,0.3618387695442065,0.7774112,1
19,Gad2,0.3563266317342064,0.98977804,1
20,Dlk1,0.34268005457028566,1.406014,1
21,Rab3c,0.32681666576234103,0.71115303,1
22,Unc5d,0.2989692630037473,0.7060325,1
23,Ngb,0.28685694406157275,0.77719474,1
24,Tmem158,0.28348654066072576,0.70412993,1
25,Ctxn1,0.27085723878675677,0.79104745,1
26,Nrxn3,0.26933499777802944,1.1801388,1
27,Nnat,0.2602757792586059,0.94196796,1
28,Fxyd6,0.25922906786605737,0.7664033,1
29,Atp8a1,0.25316547350307705,0.75535935,1
30,AW551984,0.23991582852675158,0.82106495,1
31,Ap1s2,0.23169939293652494,0.8367193,1
32,Negr1,0.22934116661404588,0.8787783,1
33,Gap43,0.15089334626336898,1.2286038,1
34,Serpini1,0.9386697085248821,1.3759333,2
35,Gpr83,0.879461869608123,1.0333203,2
36,Fam19a1,0.8732262035340111,1.0048487,2
37,Ntm,0.8712286516911883,0.8230742,2
38,Calb1,0.8595846041171676,1.0507436,2
39,Tshz2,0.8538778534612885,0.93366694,2
40,Spock3,0.8424655555975807,0.77871746,2
41,Foxb1,0.8385779026307375,0.9112532,2
42,Pcp4,0.834841798157693,0.7363055,2
43,Nxph4,0.823332622725913,0.7655615,2
44,Adarb2,0.8166509072279091,0.75817674,2
45,Kitl,0.7877446867768567,0.7758318,2
46,Lypd1,0.7555683541300618,0.77917206,2
47,Hopx,0.7263954839752295,0.7290689,2
48,Postn,0.6941787498581651,0.71647847,2
49,Tac2,0.4720151909528214,1.0714234,2
50,Sst,0.4620016435661948,1.4283638,2
51,Tac1,0.4179520924523178,1.4342605,2
52,Synpr,0.37177269617062836,0.7187422,2
53,Gad1,0.37168596195041115,0.86096895,2
54,Calb2,0.36873166890737225,0.85873747,2
55,Gad2,0.3634513686642758,0.95566726,2
56,Dlk1,0.34674905701249176,1.4143386,2
57,Nxph1,0.3192827621539657,0.71577966,2
58,Epha5,0.3071379942303263,0.74086857,2
59,Nrxn3,0.3033056998738099,1.0718781,2
60,Rab3c,0.2535288535266186,0.99937344,2
61,Brinp3,0.24830253652464834,0.7978265,2
62,Syn2,0.18282232636823448,0.8479887,2
63,Onecut2,0.9133677933471313,1.2984842,3
64,Slc24a2,0.9071551289133151,1.2579263,3
65,Cpne9,0.888946938920587,0.98898876,3
66,Cadm2,0.88696333219127,0.9487598,3
67,Cnih3,0.885565178604725,0.97178584,3
68,Pvalb,0.8830540230929871,1.5977557,3
69,Ndrg4,0.8807528528276556,0.72214985,3
70,Reps2,0.8760405304301617,0.8446063,3
71,Rgs7bp,0.8673111021377562,0.96532583,3
72,Plcb4,0.8645557286131157,0.90324116,3
73,Kcna2,0.8556479985922321,0.87227523,3
74,Pcdh20,0.8417496410658014,0.87450063,3
75,Kit,0.8390295200070854,0.8197086,3
76,Dgkb,0.8352424291687645,0.79027367,3
77,Tmem196,0.8317229365945068,0.7741564,3
78,Hcn1,0.8304888089444536,0.8093174,3
79,Serpini1,0.827948519163357,0.88887537,3
80,Tanc1,0.8277821624853164,0.7408893,3
81,Scn1b,0.8255332882334844,0.70310163,3
82,Grm2,0.8226897107083591,0.74007475,3
83,Rprm,0.8212988406891538,0.8448765,3
84,Nefl,0.8211930104557066,0.7016276,3
85,Nefm,0.8191200343551303,0.93269324,3
86,Scn1a,0.8149490995180027,0.75769305,3
87,Kcnab3,0.8143654672670656,0.8136891,3
88,Cartpt,0.8104750954438664,0.7753979,3
89,Nxph4,0.8061697787893195,0.70526916,3
90,Hlf,0.8061020416130594,0.71035606,3
91,Pcsk2,0.7959463451641774,0.7104093,3
92,Lgi2,0.7954649013630176,0.71191233,3
93,Kcna6,0.7897180210605809,0.8303956,3
94,Npy,0.7733859323432343,0.7271668,3
95,Nefh,0.754599208596707,0.75845635,3
96,Tac2,0.4820847550856781,1.0025413,3
97,Sst,0.4625615898454252,1.4606105,3
98,Tac1,0.40206966936100386,1.613836,3
99,Gad1,0.3739080475844195,0.8493019,3
100,Gad2,0.3634431637019634,0.9500983,3
101,Dlk1,0.3530259871855829,1.3827945,3
102,Synpr,0.352159315507822,0.79807806,3
103,Calb2,0.3255160261788891,1.1515968,3
104,Nxph1,0.3199918773657026,0.72462547,3
105,Nrgn,0.2869241174647126,1.0435532,3
106,Nnat,0.28602372287016836,0.84021074,3
107,Epha5,0.26948492651171896,0.84272313,3
108,Ngb,0.266723070612146,0.8328713,3
109,Nrxn3,0.2659273408802745,1.1782657,3
110,Alcam,0.24619426322928906,1.0830224,3
111,AW551984,0.24501796710391377,0.8138303,3
112,Fabp5,0.22765823987059725,0.8830774,3
113,Vat1,0.22131447122466488,0.8072152,3
114,Fxyd7,0.21002239259942945,0.81736904,3
115,Rab3c,0.20990141254591563,1.1519634,3
116,Atp8a1,0.20798838358412114,0.9001416,3
117,Ctxn1,0.1950400217458187,1.0643888,3
118,Pgrmc1,0.19469849527325617,0.736222,3
119,Ly6h,0.1716787078601928,0.7783923,3
120,Zcchc12,0.16313974485372262,0.8809092,3
121,Baiap3,0.16008749312431245,1.0134263,3
122,Resp18,0.15384736964162518,1.2500194,3
123,Opcml,0.1529190061484962,1.0973752,3
124,Gap43,0.14084066642893103,1.2992973,3
125,Tmsb4x,0.13536502617422758,0.84621406,3
126,Hap1,0.10712364933527252,1.222749,3
127,Fxyd6,0.10694301686524585,1.506576,3
128,6330403K07Rik,0.09516811056105612,1.1296592,3
129,Ahi1,0.06809749433629804,1.4057497,3
130,Calb1,0.9237856752773373,1.3758081,4
131,Dgkb,0.8770683965017048,0.9493995,4
132,Adcyap1,0.8642934857220268,0.9594548,4
133,Cox6a2,0.8514044527608556,0.98915404,4
134,Cck,0.8171785634152228,0.80208266,4
135,Foxb1,0.8117053555175082,0.76372707,4
136,Rasgrp1,0.8011670459651731,0.7458485,4
137,Col19a1,0.7777096458341776,0.74804825,4
138,Nos1,0.7635633335772616,0.71427023,4
139,Fign,0.7447908092635522,0.7400833,4
140,Tac2,0.497556382224034,1.0137166,4
141,Sst,0.4683425552361639,1.4167981,4
142,Nts,0.412356281346557,0.95475495,4
143,Tac1,0.398686052721182,1.6117965,4
144,Synpr,0.3692475495784374,0.7252679,4
145,Gad1,0.3653782814663036,0.87571365,4
146,Gad2,0.35470673865173746,0.9864304,4
147,Dlk1,0.33900015180004006,1.4229914,4
148,Calb2,0.32185636329438744,1.1531347,4
149,Nxph1,0.30966161896254646,0.73947155,4
150,Serpini1,0.3019463668081653,0.81914437,4
151,Unc5d,0.29998119130978035,0.7024006,4
152,Ngb,0.2751330367083945,0.8094195,4
153,Ctxn1,0.27022759724727863,0.7865056,4
154,Nnat,0.26364818435661275,0.9109229,4
155,AW551984,0.25788873359455844,0.76663804,4
156,Epha5,0.25165325967906693,0.87049335,4
157,Pcdh7,0.24865154996307814,0.77529716,4
158,Spock1,0.24596704790047239,0.8499388,4
159,Gnai1,0.2381126961078107,0.70471776,4
160,Rab3c,0.23608093421736193,1.0082409,4
161,Negr1,0.23343072323949754,0.8590151,4
162,Fabp5,0.23025737666549137,0.861327,4
163,Gria1,0.22547615922917028,0.83151233,4
164,Tshz2,0.21881981819072494,0.8682425,4
